subject,predicate,object
magnesium alloys,isa,materials
AZ91D magnesium alloy,isa,materials
AZ91D magnesium alloy,contains,aluminum
AZ91D magnesium alloy,contains,zinc
AZ91D magnesium alloy,contains,manganese
magnesium alloys,exhibit,limitations
AZ91D magnesium alloy,exhibits,poor corrosion resistance
AZ91D magnesium alloy,used in,automobile industry
gravity casting,isa,casting processes
AZ91D每xGd magnesium alloy,prepared by,gravity casting
X-ray diffraction analysis,isa,testing method
X-ray diffraction analysis,used to identify,beta-Mg17Al12 phase
as-cast AZ91D magnesium alloy,contains,beta-Mg17Al12 phase
as-cast AZ91D magnesium alloy,contains,eta-Al8Mn5 phase
beta-Mg17Al12 phase,isa,microstructure
eta-Al8Mn5 phase,isa,microstructure
beta-Mg17Al12 phase,exhibits,morphology
hot tearing,isa,defects
cold cracking,isa,defects
hot tearing,related to,solidification behavior
cold cracking,occurs after,solidification behavior
hot tearing,occurs during,solidification process
liquid film theory,isa,solidification behavior
interdendritic liquid film,affects,hot tearing
insufficient liquid feeding,leads to,hot tearing
mushy zone,isa,solidification behavior
mushy zone,exhibits,permeability
coherency point,isa,solidification behavior
solid fraction,affects,hot tearing
rigidity point,isa,solidification behavior
hot tearing,occurs between,coherency point
hot tearing,occurs between,rigidity point
equiaxed grains,isa,microstructure
fine equiaxed grains,reduce,hot tearing
grain refinement,improves,feeding ability
grain refinement,improves,stress accommodation
grain refinement,reduces,porosity
strain rate,isa,parameters
strain rate,affects,hot tearing
high strain rate,reduces,liquid feeding
fracture stress,isa,product property
fracture stress,affected by,strain rate
accumulated strain,isa,parameters
hot tearing,characterized by,interdendritic cracks
interdendritic bridging,affects,hot tearing
hot tearing,associated with,intergranular fracture
hot tearing susceptibility,isa,defects
solidification temperature range,affects,hot tearing
alloying elements,affect,hot tearing
eutectic formation,affects,hot tearing
thermal gradient,affects,hot tearing
AZ91D magnesium alloy,used in,lightweight structural components
rare earth elements,affect,magnesium alloys
rare earth elements,improve,corrosion resistance
rare earth elements,improve,mechanical properties
light rare earth elements,affect,corrosion resistance
mixed rare earth system,isa,materials
bottom gravity casting,isa,casting processes
AZ91D magnesium alloy,contains,beta-Mg17Al12 phase
AZ91D magnesium alloy,contains,eta-Al8Mn5 phase
yttrium addition,alters,microstructure
La Ce Y addition,modifies,microstructure
Al2Y phase,isa,microstructure
rare earth content,affects,grain refinement
AZ91D magnesium alloy,exhibits,tensile strength
